VI	BI[0]	BI[1]	BI[2]	BI[3]	BW[0]	BW[1]	BW[2]	BW[3]
9755	4	5	27	0	0.5625	0.1875	0.25	0
9756	4	26	27	0	0.45	0.1	0.45	0
9757	4	26	27	0	0.45	0.1	0.45	0
9758	29	0	0	0	1	0	0	0
9759	29	0	0	0	1	0	0	0
9760	29	0	0	0	1	0	0	0
9761	29	0	0	0	1	0	0	0
9762	4	27	0	0	0.75	0.25	0	0
9763	4	5	27	0	0.5625	0.1875	0.25	0
9764	4	5	27	0	0.5625	0.1875	0.25	0
9765	4	27	0	0	0.75	0.25	0	0
9766	4	26	27	0	0.45	0.1	0.45	0
9767	4	26	27	0	0.45	0.1	0.45	0
9768	4	5	27	0	0.5625	0.1875	0.25	0
9769	4	27	0	0	0.75	0.25	0	0
9770	29	0	0	0	1	0	0	0
9771	29	0	0	0	1	0	0	0
9772	29	0	0	0	1	0	0	0
9773	29	0	0	0	1	0	0	0
9774	4	26	27	0	0.45	0.1	0.45	0
9775	4	26	27	0	0.45	0.1	0.45	0
9776	4	26	27	0	0.45	0.1	0.45	0
9777	4	26	27	0	0.45	0.1	0.45	0
9778	4	26	27	0	0.45	0.1	0.45	0
9779	4	26	27	0	0.45	0.1	0.45	0
9780	4	26	27	0	0.45	0.1	0.45	0
9781	4	26	27	0	0.45	0.1	0.45	0
9782	29	0	0	0	1	0	0	0
9783	29	0	0	0	1	0	0	0
9784	29	0	0	0	1	0	0	0
9785	29	0	0	0	1	0	0	0
9786	4	26	27	0	0.45	0.1	0.45	0
9787	4	26	27	0	0.45	0.1	0.45	0
9788	4	26	27	0	0.45	0.1	0.45	0
9789	4	26	27	0	0.45	0.1	0.45	0
9790	4	26	27	0	0.45	0.1	0.45	0
9791	4	26	27	0	0.45	0.1	0.45	0
9792	4	26	27	0	0.45	0.1	0.45	0
9793	4	26	27	0	0.45	0.1	0.45	0
9794	4	26	27	0	0.45	0.1	0.45	0
9795	4	26	27	0	0.45	0.1	0.45	0
9796	4	26	27	0	0.45	0.1	0.45	0
9797	4	26	27	0	0.45	0.1	0.45	0
9798	4	5	27	0	0.5625	0.1875	0.25	0
9799	4	5	27	0	0.5625	0.1875	0.25	0
9800	4	26	27	0	0.45	0.1	0.45	0
9801	4	26	27	0	0.45	0.1	0.45	0
9802	4	5	27	0	0.5625	0.1875	0.25	0
9803	4	5	27	0	0.5625	0.1875	0.25	0
9804	4	5	27	0	0.5625	0.1875	0.25	0
9805	4	5	27	0	0.5625	0.1875	0.25	0
9806	4	26	27	0	0.45	0.1	0.45	0
9807	4	5	27	0	0.5625	0.1875	0.25	0
9808	4	5	27	0	0.5625	0.1875	0.25	0
9809	4	5	27	0	0.5625	0.1875	0.25	0
9810	4	26	27	0	0.45	0.1	0.45	0
9811	4	26	27	0	0.45	0.1	0.45	0
9812	4	5	27	0	0.5625	0.1875	0.25	0
9813	4	26	27	0	0.45	0.1	0.45	0
9814	4	26	27	0	0.45	0.1	0.45	0
9815	4	26	27	0	0.45	0.1	0.45	0
9816	4	26	27	0	0.45	0.1	0.45	0
9817	4	26	27	0	0.45	0.1	0.45	0
9818	4	26	27	0	0.45	0.1	0.45	0
9819	4	26	27	0	0.45	0.1	0.45	0
9820	4	26	27	0	0.45	0.1	0.45	0
9821	4	26	27	0	0.45	0.1	0.45	0
9822	4	26	27	0	0.45	0.1	0.45	0
9823	4	26	27	0	0.45	0.1	0.45	0
9824	4	26	27	0	0.45	0.1	0.45	0
9825	4	26	27	0	0.45	0.1	0.45	0
9826	4	26	27	0	0.45	0.1	0.45	0
9827	4	5	27	0	0.5625	0.1875	0.25	0
9828	4	26	27	0	0.45	0.1	0.45	0
9829	4	26	27	0	0.45	0.1	0.45	0
9830	4	5	27	0	0.5625	0.1875	0.25	0
9831	4	5	27	0	0.5625	0.1875	0.25	0
9832	4	5	27	0	0.5625	0.1875	0.25	0
9833	4	26	27	0	0.45	0.1	0.45	0
9834	4	5	27	0	0.5625	0.1875	0.25	0
9835	4	5	27	0	0.5625	0.1875	0.25	0
9836	4	5	27	0	0.5625	0.1875	0.25	0
9837	4	5	27	0	0.5625	0.1875	0.25	0
9838	4	5	27	0	0.5625	0.1875	0.25	0
9839	4	5	27	0	0.5625	0.1875	0.25	0
9840	4	5	27	0	0.5625	0.1875	0.25	0
9841	4	5	27	0	0.5625	0.1875	0.25	0
9842	4	26	27	0	0.45	0.1	0.45	0
9843	4	26	27	0	0.45	0.1	0.45	0
9844	4	5	27	0	0.5625	0.1875	0.25	0
9845	4	5	27	0	0.5625	0.1875	0.25	0
9846	4	26	27	0	0.45	0.1	0.45	0
9847	4	26	27	0	0.45	0.1	0.45	0
9848	4	26	27	0	0.45	0.1	0.45	0
9849	4	26	27	0	0.45	0.1	0.45	0
9850	4	26	27	0	0.45	0.1	0.45	0
9851	4	26	27	0	0.45	0.1	0.45	0
9852	4	26	27	0	0.45	0.1	0.45	0
9853	4	26	27	0	0.45	0.1	0.45	0
9854	4	26	27	0	0.45	0.1	0.45	0
9855	4	26	27	0	0.45	0.1	0.45	0
9856	4	26	27	0	0.45	0.1	0.45	0
9857	4	26	27	0	0.45	0.1	0.45	0
9858	4	5	27	0	0.5625	0.1875	0.25	0
9859	4	5	0	0	0.5	0.5	0	0
9860	4	26	27	0	0.45	0.1	0.45	0
9861	4	26	27	0	0.45	0.1	0.45	0
9862	29	0	0	0	1	0	0	0
9863	29	0	0	0	1	0	0	0
9864	29	0	0	0	1	0	0	0
9865	29	0	0	0	1	0	0	0
9866	29	0	0	0	1	0	0	0
9867	29	0	0	0	1	0	0	0
9868	29	0	0	0	1	0	0	0
9869	29	0	0	0	1	0	0	0
9870	11	29	0	0	0.25	0.75	0	0
9871	29	0	0	0	1	0	0	0
9872	29	0	0	0	1	0	0	0
9873	29	0	0	0	1	0	0	0
9874	29	0	0	0	1	0	0	0
9875	11	29	0	0	0.25	0.75	0	0
9876	29	0	0	0	1	0	0	0
9877	29	0	0	0	1	0	0	0
9878	29	0	0	0	1	0	0	0
9879	29	0	0	0	1	0	0	0
9880	29	0	0	0	1	0	0	0
9881	29	0	0	0	1	0	0	0
9882	29	0	0	0	1	0	0	0
9883	11	29	0	0	0.25	0.75	0	0
9884	29	0	0	0	1	0	0	0
9885	29	0	0	0	1	0	0	0
9886	29	0	0	0	1	0	0	0
9887	11	29	0	0	0.25	0.75	0	0
9888	29	0	0	0	1	0	0	0
9889	11	29	0	0	0.25	0.75	0	0
9890	11	29	0	0	0.9	0.1	0	0
9891	11	29	0	0	0.9	0.1	0	0
9892	11	29	0	0	0.75	0.25	0	0
9893	11	29	0	0	0.75	0.25	0	0
9894	11	29	0	0	0.9	0.1	0	0
9895	11	29	0	0	0.9	0.1	0	0
9896	11	29	0	0	0.75	0.25	0	0
9897	11	29	0	0	0.75	0.25	0	0
9898	11	29	0	0	0.75	0.25	0	0
9899	11	29	0	0	0.75	0.25	0	0
9900	11	29	0	0	0.75	0.25	0	0
9901	11	29	0	0	0.75	0.25	0	0
9902	11	29	0	0	0.9	0.1	0	0
9903	11	29	0	0	0.9	0.1	0	0
9904	11	29	0	0	0.75	0.25	0	0
9905	11	29	0	0	0.75	0.25	0	0
9906	11	29	0	0	0.9	0.1	0	0
9907	11	29	0	0	0.9	0.1	0	0
9908	11	29	0	0	0.9	0.1	0	0
9909	11	29	0	0	0.9	0.1	0	0
9910	4	5	27	0	0.5625	0.1875	0.25	0
9911	4	5	0	0	0.5	0.5	0	0
9912	4	5	0	0	0.5	0.5	0	0
9913	4	5	27	0	0.5625	0.1875	0.25	0
9914	4	5	27	0	0.5625	0.1875	0.25	0
9915	4	5	0	0	0.5	0.5	0	0
9916	4	5	0	0	0.5	0.5	0	0
9917	4	5	27	0	0.5625	0.1875	0.25	0
9918	4	5	27	0	0.5625	0.1875	0.25	0
9919	4	26	27	0	0.45	0.1	0.45	0
9920	4	5	0	0	0.5	0.5	0	0
9921	4	5	27	0	0.5625	0.1875	0.25	0
9922	4	26	27	0	0.45	0.1	0.45	0
9923	4	26	27	0	0.45	0.1	0.45	0
9924	4	26	27	0	0.45	0.1	0.45	0
9925	4	5	27	0	0.5625	0.1875	0.25	0
9926	34	35	0	0	0.75	0.25	0	0
9927	35	0	0	0	1	0	0	0
9928	35	0	0	0	1	0	0	0
9929	34	35	0	0	0.75	0.25	0	0
9930	4	26	27	0	0.45	0.1	0.45	0
9931	4	26	27	0	0.45	0.1	0.45	0
9932	4	26	27	0	0.45	0.1	0.45	0
9933	4	26	27	0	0.45	0.1	0.45	0
9934	43	0	0	0	1	0	0	0
9935	43	0	0	0	1	0	0	0
9936	43	0	0	0	1	0	0	0
9937	43	0	0	0	1	0	0	0
9938	4	26	27	0	0.45	0.1	0.45	0
9939	4	26	27	0	0.45	0.1	0.45	0
9940	4	26	27	0	0.45	0.1	0.45	0
9941	4	26	27	0	0.45	0.1	0.45	0
9942	4	26	27	0	0.45	0.1	0.45	0
9943	4	26	27	0	0.45	0.1	0.45	0
9944	4	26	27	0	0.45	0.1	0.45	0
9945	4	26	27	0	0.45	0.1	0.45	0
9946	4	5	0	0	0.5	0.5	0	0
9947	4	5	27	0	0.5625	0.1875	0.25	0
9948	4	5	27	0	0.5625	0.1875	0.25	0
9949	4	26	27	0	0.45	0.1	0.45	0
9950	4	5	0	0	0.5	0.5	0	0
9951	4	5	0	0	0.5	0.5	0	0
9952	4	5	27	0	0.5625	0.1875	0.25	0
9953	4	5	0	0	0.5	0.5	0	0
9954	4	5	0	0	0.5	0.5	0	0
9955	4	5	27	0	0.5625	0.1875	0.25	0
9956	4	5	0	0	0.5	0.5	0	0
9957	4	5	0	0	0.5	0.5	0	0
9958	4	26	27	0	0.45	0.1	0.45	0
9959	4	5	27	0	0.5625	0.1875	0.25	0
9960	4	5	27	0	0.5625	0.1875	0.25	0
9961	4	5	0	0	0.5	0.5	0	0
9962	11	0	0	0	1	0	0	0
9963	11	0	0	0	1	0	0	0
