VI	BI[0]	BI[1]	BI[2]	BI[3]	BW[0]	BW[1]	BW[2]	BW[3]
0	2	0	0	0	1	0	0	0
1	2	0	0	0	1	0	0	0
2	2	0	0	0	1	0	0	0
3	2	0	0	0	1	0	0	0
4	0	1	0	0	0.75	0.25	0	0
5	0	1	0	0	0.5	0.5	0	0
6	0	1	0	0	0.5	0.5	0	0
7	0	1	0	0	0.75	0.25	0	0
8	2	3	4	0	0.1	0.45	0.45	0
9	2	3	4	0	0.1	0.45	0.45	0
10	4	6	0	0	0.75	0.25	0	0
11	4	5	0	0	0.25	0.75	0	0
12	5	7	0	0	0.75	0.25	0	0
13	5	7	0	0	0.75	0.25	0	0
14	4	5	0	0	0.25	0.75	0	0
15	3	4	0	0	0.2	0.8	0	0
16	2	3	4	0	0.1	0.45	0.45	0
17	4	0	0	0	1	0	0	0
18	2	0	0	0	1	0	0	0
19	2	8	0	0	0.9	0.1	0	0
20	2	8	0	0	0.9	0.1	0	0
21	2	0	0	0	1	0	0	0
22	20	0	0	0	1	0	0	0
23	20	24	0	0	0.25	0.75	0	0
24	20	24	0	0	0.25	0.75	0	0
25	20	0	0	0	1	0	0	0
26	0	1	0	0	0.25	0.75	0	0
27	0	1	0	0	0.5	0.5	0	0
28	0	1	0	0	0.5	0.5	0	0
29	0	1	0	0	0.25	0.75	0	0
30	18	0	0	0	1	0	0	0
31	12	18	23	0	0.675	0.225	0.1	0
32	12	18	0	0	0.75	0.25	0	0
33	18	0	0	0	1	0	0	0
34	0	1	0	0	0.25	0.75	0	0
35	0	1	0	0	0.5	0.5	0	0
36	0	1	0	0	0.5	0.5	0	0
37	0	1	0	0	0.25	0.75	0	0
38	20	0	0	0	1	0	0	0
39	20	24	0	0	0.25	0.75	0	0
40	20	24	0	0	0.25	0.75	0	0
41	20	0	0	0	1	0	0	0
42	2	0	0	0	1	0	0	0
43	2	0	0	0	1	0	0	0
44	2	0	0	0	1	0	0	0
45	2	0	0	0	1	0	0	0
46	2	8	0	0	0.1	0.9	0	0
47	2	8	0	0	0.1	0.9	0	0
48	2	8	0	0	0.5	0.5	0	0
49	2	8	0	0	0.5	0.5	0	0
50	2	3	4	0	0.1	0.45	0.45	0
51	2	3	4	0	0.1	0.45	0.45	0
52	4	0	0	0	1	0	0	0
53	0	1	0	0	0.75	0.25	0	0
54	0	1	0	0	0.5	0.5	0	0
55	0	1	0	0	0.5	0.5	0	0
56	0	1	0	0	0.75	0.25	0	0
57	4	6	0	0	0.75	0.25	0	0
58	4	6	0	0	0.75	0.25	0	0
59	1	4	6	0	0.1875	0.25	0.5625	0
60	1	4	6	0	0.1875	0.25	0.5625	0
61	2	0	0	0	1	0	0	0
62	2	0	0	0	1	0	0	0
63	2	0	0	0	1	0	0	0
64	2	0	0	0	1	0	0	0
65	3	4	0	0	0.25	0.75	0	0
66	2	3	4	0	0.1	0.45	0.45	0
67	2	3	4	0	0.1	0.45	0.45	0
68	3	4	5	0	0.25	0.5625	0.1875	0
69	4	6	0	0	0.75	0.25	0	0
70	4	6	0	0	0.75	0.25	0	0
71	1	4	6	0	0.1875	0.25	0.5625	0
72	1	4	6	0	0.1875	0.25	0.5625	0
73	1	4	6	0	0.1875	0.25	0.5625	0
74	1	4	6	0	0.1875	0.25	0.5625	0
75	4	6	0	0	0.75	0.25	0	0
76	4	6	0	0	0.75	0.25	0	0
77	4	0	0	0	1	0	0	0
78	3	4	0	0	0.25	0.75	0	0
79	3	4	5	0	0.25	0.5625	0.1875	0
80	4	5	0	0	0.75	0.25	0	0
81	1	6	0	0	0.7	0.3	0	0
82	1	6	0	0	0.55	0.45	0	0
83	1	6	0	0	0.55	0.45	0	0
84	1	6	0	0	0.7	0.3	0	0
85	18	0	0	0	1	0	0	0
86	18	19	0	0	0.75	0.25	0	0
87	18	19	0	0	0.75	0.25	0	0
88	18	0	0	0	1	0	0	0
89	1	4	6	0	0.1875	0.25	0.5625	0
90	1	6	0	0	0.55	0.45	0	0
91	1	6	0	0	0.55	0.45	0	0
92	1	4	6	0	0.1875	0.25	0.5625	0
93	18	19	0	0	0.75	0.25	0	0
94	19	0	0	0	1	0	0	0
95	19	0	0	0	1	0	0	0
96	18	19	0	0	0.75	0.25	0	0
97	12	16	18	23	0.6075	0.2025	0.09	0.1
98	12	18	0	0	0.9	0.1	0	0
99	12	18	0	0	0.75	0.25	0	0
100	12	18	23	0	0.675	0.225	0.1	0
101	4	6	0	0	0.75	0.25	0	0
102	1	4	6	0	0.1875	0.25	0.5625	0
103	1	4	6	0	0.1875	0.25	0.5625	0
104	4	6	0	0	0.75	0.25	0	0
105	23	0	0	0	1	0	0	0
106	23	24	0	0	0.75	0.25	0	0
107	23	24	0	0	0.75	0.25	0	0
108	23	0	0	0	1	0	0	0
109	1	4	6	0	0.1875	0.25	0.5625	0
110	1	6	0	0	0.55	0.45	0	0
111	1	6	0	0	0.55	0.45	0	0
112	1	4	6	0	0.1875	0.25	0.5625	0
113	20	0	0	0	1	0	0	0
114	20	24	0	0	0.25	0.75	0	0
115	20	24	0	0	0.25	0.75	0	0
116	20	0	0	0	1	0	0	0
117	1	4	6	0	0.1875	0.25	0.5625	0
118	1	6	0	0	0.55	0.45	0	0
119	1	6	0	0	0.55	0.45	0	0
120	1	4	6	0	0.1875	0.25	0.5625	0
121	2	3	4	0	0.1	0.45	0.45	0
122	4	0	0	0	1	0	0	0
123	4	6	0	0	0.75	0.25	0	0
124	4	6	0	0	0.75	0.25	0	0
125	23	0	0	0	1	0	0	0
126	12	14	23	0	0.675	0.1	0.225	0
127	12	18	23	0	0.675	0.075	0.25	0
128	23	0	0	0	1	0	0	0
129	2	0	0	0	1	0	0	0
130	2	3	4	0	0.25	0.5625	0.1875	0
131	2	3	4	0	0.25	0.5625	0.1875	0
132	2	0	0	0	1	0	0	0
133	2	3	4	0	0.1	0.45	0.45	0
134	2	3	4	0	0.25	0.5625	0.1875	0
135	2	3	4	0	0.25	0.5625	0.1875	0
136	2	3	4	0	0.1	0.45	0.45	0
137	4	0	0	0	1	0	0	0
138	4	0	0	0	1	0	0	0
139	4	6	0	0	0.75	0.25	0	0
140	4	6	0	0	0.75	0.25	0	0
141	2	0	0	0	1	0	0	0
142	2	0	0	0	1	0	0	0
143	2	0	0	0	1	0	0	0
144	2	0	0	0	1	0	0	0
145	2	0	0	0	1	0	0	0
146	2	0	0	0	1	0	0	0
147	2	0	0	0	1	0	0	0
148	2	0	0	0	1	0	0	0
149	2	3	4	0	0.1	0.45	0.45	0
150	3	4	0	0	0.25	0.75	0	0
151	4	0	0	0	1	0	0	0
152	2	3	4	0	0.1	0.45	0.45	0
153	2	0	0	0	1	0	0	0
154	2	0	0	0	1	0	0	0
155	2	0	0	0	1	0	0	0
156	2	0	0	0	1	0	0	0
157	2	3	4	0	0.1	0.45	0.45	0
158	2	3	4	0	0.25	0.5625	0.1875	0
159	2	3	4	0	0.25	0.5625	0.1875	0
160	2	3	4	0	0.1	0.45	0.45	0
161	2	0	0	0	1	0	0	0
162	2	0	0	0	1	0	0	0
163	2	0	0	0	1	0	0	0
164	2	0	0	0	1	0	0	0
165	2	0	0	0	1	0	0	0
166	2	0	0	0	1	0	0	0
167	2	0	0	0	1	0	0	0
168	2	0	0	0	1	0	0	0
169	2	3	4	0	0.1	0.45	0.45	0
170	3	4	0	0	0.2	0.8	0	0
171	3	4	5	0	0.25	0.5625	0.1875	0
172	3	4	5	0	0.25	0.5625	0.1875	0
173	2	0	0	0	1	0	0	0
174	2	0	0	0	1	0	0	0
175	2	0	0	0	1	0	0	0
176	2	0	0	0	1	0	0	0
177	2	0	0	0	1	0	0	0
178	2	0	0	0	1	0	0	0
179	2	0	0	0	1	0	0	0
180	2	0	0	0	1	0	0	0
181	2	0	0	0	1	0	0	0
182	2	3	4	0	0.25	0.5625	0.1875	0
183	2	3	4	0	0.25	0.5625	0.1875	0
184	2	3	0	0	0.65	0.35	0	0
185	2	0	0	0	1	0	0	0
186	2	0	0	0	1	0	0	0
187	2	0	0	0	1	0	0	0
188	2	0	0	0	1	0	0	0
189	4	6	0	0	0.75	0.25	0	0
190	4	6	0	0	0.75	0.25	0	0
191	4	0	0	0	1	0	0	0
192	4	0	0	0	1	0	0	0
193	2	3	4	0	0.1	0.45	0.45	0
194	4	6	0	0	0.75	0.25	0	0
195	2	3	4	0	0.1	0.45	0.45	0
196	4	6	0	0	0.75	0.25	0	0
197	4	6	0	0	0.75	0.25	0	0
198	2	3	4	0	0.1	0.45	0.45	0
199	2	3	4	0	0.25	0.5625	0.1875	0
200	2	3	4	0	0.1	0.45	0.45	0
201	2	3	4	0	0.1	0.45	0.45	0
202	2	3	4	0	0.25	0.5625	0.1875	0
203	2	3	4	0	0.25	0.5625	0.1875	0
204	2	0	0	0	1	0	0	0
205	2	3	0	0	0.65	0.35	0	0
206	2	3	4	0	0.25	0.5625	0.1875	0
207	2	3	4	0	0.1	0.45	0.45	0
208	2	3	4	0	0.25	0.5625	0.1875	0
209	2	3	4	0	0.25	0.5625	0.1875	0
210	2	3	4	0	0.1	0.45	0.45	0
211	2	3	0	0	0.65	0.35	0	0
212	2	3	0	0	0.5	0.5	0	0
213	2	3	0	0	0.65	0.35	0	0
214	4	5	0	0	0.5	0.5	0	0
215	4	5	0	0	0.5	0.5	0	0
216	3	4	5	0	0.25	0.5625	0.1875	0
217	4	5	0	0	0.75	0.25	0	0
218	2	0	0	0	1	0	0	0
219	2	0	0	0	1	0	0	0
220	2	0	0	0	1	0	0	0
221	2	0	0	0	1	0	0	0
222	4	6	0	0	0.75	0.25	0	0
223	4	0	0	0	1	0	0	0
224	4	0	0	0	1	0	0	0
225	4	6	0	0	0.75	0.25	0	0
226	13	15	0	0	0.25	0.75	0	0
227	13	0	0	0	1	0	0	0
228	13	0	0	0	1	0	0	0
229	13	15	0	0	0.25	0.75	0	0
230	2	8	0	0	0.9	0.1	0	0
231	2	8	0	0	0.75	0.25	0	0
232	2	8	0	0	0.75	0.25	0	0
233	2	8	0	0	0.9	0.1	0	0
234	2	0	0	0	1	0	0	0
235	2	0	0	0	1	0	0	0
236	2	0	0	0	1	0	0	0
237	2	0	0	0	1	0	0	0
238	2	0	0	0	1	0	0	0
239	2	0	0	0	1	0	0	0
240	2	0	0	0	1	0	0	0
241	2	0	0	0	1	0	0	0
242	2	0	0	0	1	0	0	0
243	2	0	0	0	1	0	0	0
244	2	0	0	0	1	0	0	0
245	2	0	0	0	1	0	0	0
246	2	0	0	0	1	0	0	0
247	2	0	0	0	1	0	0	0
248	2	0	0	0	1	0	0	0
249	2	0	0	0	1	0	0	0
250	12	14	23	0	0.675	0.1	0.225	0
251	23	0	0	0	1	0	0	0
252	23	0	0	0	1	0	0	0
253	12	18	23	0	0.675	0.075	0.25	0
254	2	3	4	0	0.25	0.5625	0.1875	0
255	2	0	0	0	1	0	0	0
256	2	0	0	0	1	0	0	0
257	2	3	4	0	0.25	0.5625	0.1875	0
258	12	16	0	0	0.25	0.75	0	0
259	12	16	0	0	0.75	0.25	0	0
260	12	16	0	0	0.75	0.25	0	0
261	2	3	4	0	0.1	0.45	0.45	0
262	2	3	4	0	0.25	0.5625	0.1875	0
263	2	3	4	0	0.25	0.5625	0.1875	0
264	2	3	4	0	0.1	0.45	0.45	0
265	2	0	0	0	1	0	0	0
266	2	3	0	0	0.65	0.35	0	0
267	2	3	0	0	0.65	0.35	0	0
268	2	3	0	0	0.65	0.35	0	0
269	4	6	0	0	0.75	0.25	0	0
270	4	0	0	0	1	0	0	0
271	4	0	0	0	1	0	0	0
272	4	0	0	0	1	0	0	0
273	2	8	0	0	0.75	0.25	0	0
274	2	8	0	0	0.5	0.5	0	0
275	2	8	0	0	0.5	0.5	0	0
276	2	8	0	0	0.75	0.25	0	0
277	2	0	0	0	1	0	0	0
278	2	3	0	0	0.65	0.35	0	0
279	2	0	0	0	1	0	0	0
280	2	3	4	0	0.25	0.5625	0.1875	0
281	2	3	4	0	0.1	0.45	0.45	0
282	2	3	4	0	0.1	0.45	0.45	0
283	2	3	4	0	0.25	0.5625	0.1875	0
284	2	0	0	0	1	0	0	0
285	2	3	0	0	0.65	0.35	0	0
286	2	0	0	0	1	0	0	0
287	2	0	0	0	1	0	0	0
288	2	3	4	0	0.25	0.5625	0.1875	0
289	2	3	4	0	0.25	0.5625	0.1875	0
290	2	0	0	0	1	0	0	0
291	4	5	0	0	0.75	0.25	0	0
292	3	4	5	0	0.25	0.5625	0.1875	0
293	4	5	0	0	0.5	0.5	0	0
294	4	5	0	0	0.5	0.5	0	0
295	17	21	0	0	0.75	0.25	0	0
296	17	21	0	0	0.75	0.25	0	0
297	17	0	0	0	1	0	0	0
298	17	0	0	0	1	0	0	0
299	3	4	0	0	0.2	0.8	0	0
300	4	0	0	0	1	0	0	0
301	4	0	0	0	1	0	0	0
302	3	4	5	0	0.25	0.5625	0.1875	0
303	3	4	0	0	0.2	0.8	0	0
304	2	3	4	0	0.1	0.45	0.45	0
305	2	3	4	0	0.1	0.45	0.45	0
306	4	0	0	0	1	0	0	0
307	4	0	0	0	1	0	0	0
308	4	5	0	0	0.75	0.25	0	0
309	3	4	5	0	0.25	0.5625	0.1875	0
310	12	14	0	0	0.9	0.1	0	0
311	12	0	0	0	1	0	0	0
312	12	0	0	0	1	0	0	0
313	12	14	0	0	0.9	0.1	0	0
314	2	3	4	0	0.1	0.45	0.45	0
315	4	0	0	0	1	0	0	0
316	2	3	4	0	0.1	0.45	0.45	0
317	4	0	0	0	1	0	0	0
318	4	0	0	0	1	0	0	0
319	4	0	0	0	1	0	0	0
320	8	12	0	0	0.75	0.25	0	0
321	8	12	0	0	0.75	0.25	0	0
322	8	12	0	0	0.9	0.1	0	0
323	8	12	0	0	0.9	0.1	0	0
324	12	0	0	0	1	0	0	0
325	12	0	0	0	1	0	0	0
326	8	12	0	0	0.15	0.85	0	0
327	8	12	0	0	0.15	0.85	0	0
328	1	6	0	0	0.7	0.3	0	0
329	1	6	0	0	0.85	0.15	0	0
330	1	6	0	0	0.85	0.15	0	0
331	1	6	0	0	0.7	0.3	0	0
332	18	0	0	0	1	0	0	0
333	18	19	0	0	0.75	0.25	0	0
334	18	19	0	0	0.75	0.25	0	0
335	18	0	0	0	1	0	0	0
336	1	6	0	0	0.7	0.3	0	0
337	1	6	0	0	0.85	0.15	0	0
338	1	6	0	0	0.85	0.15	0	0
339	1	6	0	0	0.7	0.3	0	0
340	20	0	0	0	1	0	0	0
341	20	24	0	0	0.25	0.75	0	0
342	20	24	0	0	0.25	0.75	0	0
343	20	0	0	0	1	0	0	0
344	0	1	0	0	0.25	0.75	0	0
345	1	6	0	0	0.85	0.15	0	0
346	1	6	0	0	0.85	0.15	0	0
347	0	1	0	0	0.25	0.75	0	0
348	14	0	0	0	1	0	0	0
349	12	14	23	0	0.675	0.25	0.075	0
350	12	14	23	0	0.675	0.25	0.075	0
351	14	0	0	0	1	0	0	0
352	0	1	0	0	0.25	0.75	0	0
353	1	6	0	0	0.85	0.15	0	0
354	1	6	0	0	0.85	0.15	0	0
355	0	1	0	0	0.25	0.75	0	0
356	23	24	0	0	0.75	0.25	0	0
357	24	0	0	0	1	0	0	0
358	24	0	0	0	1	0	0	0
359	23	24	0	0	0.75	0.25	0	0
360	2	3	4	0	0.25	0.5625	0.1875	0
361	2	3	0	0	0.65	0.35	0	0
362	2	3	0	0	0.65	0.35	0	0
363	2	3	4	0	0.25	0.5625	0.1875	0
364	14	0	0	0	1	0	0	0
365	14	15	0	0	0.75	0.25	0	0
366	14	15	0	0	0.75	0.25	0	0
367	14	0	0	0	1	0	0	0
368	23	0	0	0	1	0	0	0
369	23	24	0	0	0.75	0.25	0	0
370	23	24	0	0	0.75	0.25	0	0
371	23	0	0	0	1	0	0	0
372	4	0	0	0	1	0	0	0
373	2	3	4	0	0.1	0.45	0.45	0
374	4	0	0	0	1	0	0	0
375	2	3	4	0	0.1	0.45	0.45	0
376	2	3	4	0	0.1	0.45	0.45	0
377	4	0	0	0	1	0	0	0
378	4	0	0	0	1	0	0	0
379	2	3	4	0	0.1	0.45	0.45	0
380	4	0	0	0	1	0	0	0
381	4	0	0	0	1	0	0	0
382	4	0	0	0	1	0	0	0
383	4	0	0	0	1	0	0	0
384	4	0	0	0	1	0	0	0
385	0	1	0	0	0.75	0.25	0	0
386	0	1	0	0	0.5	0.5	0	0
387	0	1	0	0	0.5	0.5	0	0
388	0	1	0	0	0.75	0.25	0	0
389	14	0	0	0	1	0	0	0
390	14	15	0	0	0.75	0.25	0	0
391	14	15	0	0	0.75	0.25	0	0
392	14	0	0	0	1	0	0	0
393	0	1	0	0	0.75	0.25	0	0
394	0	1	0	0	0.5	0.5	0	0
395	0	1	0	0	0.5	0.5	0	0
396	0	1	0	0	0.75	0.25	0	0
397	14	15	0	0	0.75	0.25	0	0
398	15	0	0	0	1	0	0	0
399	15	0	0	0	1	0	0	0
400	14	15	0	0	0.75	0.25	0	0
401	12	14	0	0	0.9	0.1	0	0
402	12	14	0	0	0.75	0.25	0	0
403	12	14	0	0	0.75	0.25	0	0
404	12	14	0	0	0.9	0.1	0	0
405	2	3	4	0	0.25	0.5625	0.1875	0
406	2	3	0	0	0.5	0.5	0	0
407	2	3	0	0	0.65	0.35	0	0
408	2	3	4	0	0.25	0.5625	0.1875	0
409	4	5	0	0	0.5	0.5	0	0
410	4	5	0	0	0.5	0.5	0	0
411	3	4	5	0	0.25	0.5625	0.1875	0
412	3	4	5	0	0.25	0.5625	0.1875	0
413	4	5	0	0	0.5	0.5	0	0
414	4	5	0	0	0.5	0.5	0	0
415	3	4	5	0	0.25	0.5625	0.1875	0
416	3	4	5	0	0.25	0.5625	0.1875	0
417	2	0	0	0	1	0	0	0
418	2	0	0	0	1	0	0	0
419	2	0	0	0	1	0	0	0
420	2	0	0	0	1	0	0	0
421	2	3	4	0	0.25	0.5625	0.1875	0
422	2	3	4	0	0.1	0.45	0.45	0
423	2	3	4	0	0.1	0.45	0.45	0
424	2	3	4	0	0.25	0.5625	0.1875	0
425	4	5	0	0	0.25	0.75	0	0
426	4	5	0	0	0.5	0.5	0	0
427	4	5	0	0	0.5	0.5	0	0
428	4	5	0	0	0.25	0.75	0	0
429	0	9	0	0	0.25	0.75	0	0
430	0	9	0	0	0.25	0.75	0	0
431	0	9	0	0	0.1	0.9	0	0
432	16	17	0	0	0.75	0.25	0	0
433	17	0	0	0	1	0	0	0
434	17	0	0	0	1	0	0	0
435	16	17	0	0	0.75	0.25	0	0
436	13	15	0	0	0.25	0.75	0	0
437	13	0	0	0	1	0	0	0
438	13	0	0	0	1	0	0	0
439	13	15	0	0	0.25	0.75	0	0
440	8	12	0	0	0.9	0.1	0	0
441	8	12	0	0	0.9	0.1	0	0
442	8	0	0	0	1	0	0	0
443	8	0	0	0	1	0	0	0
444	4	0	0	0	1	0	0	0
445	4	0	0	0	1	0	0	0
446	4	0	0	0	1	0	0	0
447	4	0	0	0	1	0	0	0
448	12	16	0	0	0.75	0.25	0	0
449	12	18	0	0	0.9	0.1	0	0
450	16	17	0	0	0.75	0.25	0	0
451	2	0	0	0	1	0	0	0
452	2	0	0	0	1	0	0	0
453	2	0	0	0	1	0	0	0
454	2	0	0	0	1	0	0	0
455	2	0	0	0	1	0	0	0
456	2	0	0	0	1	0	0	0
457	2	0	0	0	1	0	0	0
458	2	0	0	0	1	0	0	0
459	2	0	0	0	1	0	0	0
460	2	0	0	0	1	0	0	0
461	2	0	0	0	1	0	0	0
462	2	0	0	0	1	0	0	0
463	2	8	0	0	0.9	0.1	0	0
464	2	8	0	0	0.75	0.25	0	0
465	2	8	0	0	0.75	0.25	0	0
466	2	8	0	0	0.9	0.1	0	0
467	13	15	0	0	0.25	0.75	0	0
468	13	0	0	0	1	0	0	0
469	13	0	0	0	1	0	0	0
470	13	15	0	0	0.25	0.75	0	0
471	18	19	0	0	0.75	0.25	0	0
472	18	0	0	0	1	0	0	0
473	18	0	0	0	1	0	0	0
474	18	19	0	0	0.75	0.25	0	0
475	4	0	0	0	1	0	0	0
476	4	0	0	0	1	0	0	0
477	4	0	0	0	1	0	0	0
478	4	0	0	0	1	0	0	0
479	12	18	23	0	0.675	0.225	0.1	0
480	12	18	23	0	0.675	0.225	0.1	0
481	12	18	23	0	0.675	0.075	0.25	0
482	12	18	23	0	0.675	0.075	0.25	0
483	4	0	0	0	1	0	0	0
484	4	0	0	0	1	0	0	0
485	4	0	0	0	1	0	0	0
486	4	0	0	0	1	0	0	0
487	4	0	0	0	1	0	0	0
488	4	0	0	0	1	0	0	0
489	4	0	0	0	1	0	0	0
490	4	0	0	0	1	0	0	0
491	4	0	0	0	1	0	0	0
492	4	0	0	0	1	0	0	0
493	4	0	0	0	1	0	0	0
494	4	0	0	0	1	0	0	0
495	4	6	0	0	0.75	0.25	0	0
496	4	6	0	0	0.75	0.25	0	0
497	4	0	0	0	1	0	0	0
498	4	0	0	0	1	0	0	0
499	4	0	0	0	1	0	0	0
500	4	0	0	0	1	0	0	0
501	4	0	0	0	1	0	0	0
502	4	0	0	0	1	0	0	0
503	16	17	0	0	0.75	0.25	0	0
504	16	17	0	0	0.75	0.25	0	0
505	12	16	0	0	0.75	0.25	0	0
506	0	1	0	0	0.75	0.25	0	0
507	0	1	0	0	0.5	0.5	0	0
508	0	1	0	0	0.5	0.5	0	0
509	0	1	0	0	0.75	0.25	0	0
510	2	0	0	0	1	0	0	0
511	2	8	0	0	0.9	0.1	0	0
512	2	8	0	0	0.9	0.1	0	0
513	2	0	0	0	1	0	0	0
514	2	0	0	0	1	0	0	0
515	2	8	0	0	0.9	0.1	0	0
516	2	8	0	0	0.9	0.1	0	0
517	2	0	0	0	1	0	0	0
518	2	0	0	0	1	0	0	0
519	2	0	0	0	1	0	0	0
520	2	0	0	0	1	0	0	0
521	2	0	0	0	1	0	0	0
522	2	0	0	0	1	0	0	0
523	2	8	0	0	0.9	0.1	0	0
524	2	8	0	0	0.9	0.1	0	0
525	2	0	0	0	1	0	0	0
526	2	8	0	0	0.5	0.5	0	0
527	2	8	0	0	0.5	0.5	0	0
528	2	8	0	0	0.1	0.9	0	0
529	2	8	0	0	0.1	0.9	0	0
530	2	0	0	0	1	0	0	0
531	2	0	0	0	1	0	0	0
532	2	0	0	0	1	0	0	0
533	2	0	0	0	1	0	0	0
534	2	8	0	0	0.5	0.5	0	0
535	2	8	0	0	0.5	0.5	0	0
536	2	8	0	0	0.1	0.9	0	0
537	2	8	0	0	0.1	0.9	0	0
538	2	0	0	0	1	0	0	0
539	2	8	0	0	0.9	0.1	0	0
540	2	8	0	0	0.9	0.1	0	0
541	2	0	0	0	1	0	0	0
542	5	7	0	0	0.75	0.25	0	0
543	5	7	0	0	0.75	0.25	0	0
544	5	7	0	0	0.25	0.75	0	0
545	5	7	0	0	0.25	0.75	0	0
546	10	0	0	0	1	0	0	0
547	10	0	0	0	1	0	0	0
548	9	10	0	0	0.25	0.75	0	0
549	9	10	0	0	0.25	0.75	0	0
550	19	22	0	0	0.75	0.25	0	0
551	22	0	0	0	1	0	0	0
552	22	0	0	0	1	0	0	0
553	19	22	0	0	0.75	0.25	0	0
554	9	10	0	0	0.25	0.75	0	0
555	10	0	0	0	1	0	0	0
556	10	0	0	0	1	0	0	0
557	9	10	0	0	0.25	0.75	0	0
558	21	0	0	0	1	0	0	0
559	21	0	0	0	1	0	0	0
560	21	0	0	0	1	0	0	0
561	21	0	0	0	1	0	0	0
562	19	22	0	0	0.75	0.25	0	0
563	22	0	0	0	1	0	0	0
564	22	0	0	0	1	0	0	0
565	19	22	0	0	0.75	0.25	0	0
566	5	7	0	0	0.25	0.75	0	0
567	7	0	0	0	1	0	0	0
568	7	0	0	0	1	0	0	0
569	5	7	0	0	0.25	0.75	0	0
570	5	7	0	0	0.25	0.75	0	0
571	5	7	0	0	0.75	0.25	0	0
572	5	7	0	0	0.75	0.25	0	0
573	7	0	0	0	1	0	0	0
574	5	7	0	0	0.25	0.75	0	0
575	5	7	0	0	0.25	0.75	0	0
576	9	10	0	0	0.9	0.1	0	0
577	9	10	0	0	0.9	0.1	0	0
578	9	10	0	0	0.75	0.25	0	0
579	9	10	0	0	0.75	0.25	0	0
580	10	0	0	0	1	0	0	0
581	9	10	0	0	0.25	0.75	0	0
582	9	10	0	0	0.25	0.75	0	0
583	10	0	0	0	1	0	0	0
584	0	1	0	0	0.5	0.5	0	0
585	0	1	0	0	0.75	0.25	0	0
586	0	1	0	0	0.75	0.25	0	0
587	0	1	0	0	0.5	0.5	0	0
588	0	0	0	0	1	0	0	0
589	0	1	0	0	0.9	0.1	0	0
590	0	1	0	0	0.9	0.1	0	0
591	0	9	0	0	0.8	0.2	0	0
592	5	7	0	0	0.25	0.75	0	0
593	5	7	0	0	0.25	0.75	0	0
594	5	7	0	0	0.75	0.25	0	0
595	5	7	0	0	0.75	0.25	0	0
596	5	7	0	0	0.25	0.75	0	0
597	5	7	0	0	0.25	0.75	0	0
598	7	0	0	0	1	0	0	0
599	2	0	0	0	1	0	0	0
600	2	0	0	0	1	0	0	0
601	2	0	0	0	1	0	0	0
602	2	0	0	0	1	0	0	0
603	2	8	0	0	0.75	0.25	0	0
604	2	8	0	0	0.9	0.1	0	0
605	2	8	0	0	0.9	0.1	0	0
606	2	8	0	0	0.75	0.25	0	0
607	2	8	0	0	0.5	0.5	0	0
608	2	8	0	0	0.5	0.5	0	0
609	2	8	0	0	0.1	0.9	0	0
610	2	8	0	0	0.1	0.9	0	0
611	2	8	0	0	0.75	0.25	0	0
612	2	8	0	0	0.75	0.25	0	0
613	2	8	0	0	0.5	0.5	0	0
614	2	8	0	0	0.5	0.5	0	0
615	2	8	0	0	0.5	0.5	0	0
616	2	8	0	0	0.5	0.5	0	0
617	2	8	0	0	0.1	0.9	0	0
618	2	8	0	0	0.1	0.9	0	0
619	2	8	0	0	0.75	0.25	0	0
620	2	8	0	0	0.5	0.5	0	0
621	2	8	0	0	0.5	0.5	0	0
622	2	8	0	0	0.75	0.25	0	0
623	8	0	0	0	1	0	0	0
624	2	8	0	0	0.1	0.9	0	0
625	2	8	0	0	0.1	0.9	0	0
626	8	0	0	0	1	0	0	0
627	14	15	0	0	0.75	0.25	0	0
628	15	0	0	0	1	0	0	0
629	15	0	0	0	1	0	0	0
630	14	15	0	0	0.75	0.25	0	0
631	2	0	0	0	1	0	0	0
632	2	0	0	0	1	0	0	0
633	2	0	0	0	1	0	0	0
634	2	0	0	0	1	0	0	0
635	2	8	0	0	0.75	0.25	0	0
636	2	8	0	0	0.75	0.25	0	0
637	2	8	0	0	0.9	0.1	0	0
638	2	8	0	0	0.9	0.1	0	0
639	1	6	0	0	0.55	0.45	0	0
640	1	4	6	0	0.1875	0.25	0.5625	0
641	1	4	6	0	0.1875	0.25	0.5625	0
642	1	6	0	0	0.55	0.45	0	0
643	2	8	0	0	0.1	0.9	0	0
644	8	0	0	0	1	0	0	0
645	8	0	0	0	1	0	0	0
646	2	8	0	0	0.1	0.9	0	0
647	2	0	0	0	1	0	0	0
648	2	0	0	0	1	0	0	0
649	2	0	0	0	1	0	0	0
650	2	0	0	0	1	0	0	0
651	21	0	0	0	1	0	0	0
652	21	0	0	0	1	0	0	0
653	21	0	0	0	1	0	0	0
654	21	0	0	0	1	0	0	0
655	0	9	0	0	0.75	0.25	0	0
656	0	9	0	0	0.8	0.2	0	0
657	0	9	0	0	0.8	0.2	0	0
658	0	9	0	0	0.75	0.25	0	0
659	8	12	0	0	0.75	0.25	0	0
660	8	12	0	0	0.75	0.25	0	0
661	8	12	0	0	0.9	0.1	0	0
662	8	12	0	0	0.9	0.1	0	0
663	12	14	23	0	0.675	0.25	0.075	0
664	12	14	23	0	0.675	0.1	0.225	0
665	12	14	23	0	0.675	0.1	0.225	0
